query,correct_answer,correct_sources
Биометрия,"С 1 января 2025 года для активации SIM-карты иностранному гражданину нужно зарегистрироваться на портале Госуслуги, а затем сдать биометрию и подтвердить персональные данные. 

1. По паспорту оформите SIM-карту в салоне экосистемы МТС. Её можно использовать только в одном устройстве, поэтому возьмите его с собой или заранее уточните его IMEI
2. Переведите ваш паспорт на русский язык в бюро переводов и заверьте у нотариуса
3. Оформите СНИЛС в Социальном фонде России, МФЦ или у вашего работодателя. С собой возьмите паспорт и его перевод на русский язык. СНИЛС будет готов сразу
4. Заведите электронный почтовый ящик.
5. Зарегистрируйтесь на Госуслугах:
- по ссылке, если у вас уже есть российский номер и вы клиент российского банка
- лично в МФЦ или банке. С собой возьмите паспорт, его перевод на русский язык и СНИЛС. Сотрудник создаст личный кабинет на ваше имя и отправит документы на проверку. 
После проверки вы получите пароль для первого входа на Госуслуги на телефон или почту. В качестве логина используйте номер, на который вы получили пароль, или СНИЛС 
6. Сдайте биометрию ― данные голоса и скан лица. Для этого возьмите паспорт, его перевод на русский язык и СНИЛС и обратитесь в банк. Запись биометрии в Единой биометрической системе займёт несколько секунд
7. Активируйте SIM-карту по биометрическим данным. Для этого подтвердите их на Госуслугах самостоятельно


",https://support.mts.ru/mts_mobilnaya_svyaz/oformlenie-i-podtverzhdenie-sim-karti-inostrannim-grazhdaninom/kak-inostrannomu-grazhdaninu-oformit-sim-kartu
Блокирвка,"Слишком широкий запрос. Возможно вы имели в виду:
Добровольная блокировка номера
Блокировка из-за долгого неиспользования номера
Как заблокировать банковсккую карту","https://support.mts.ru/mts_mobilnaya_svyaz/blokirovka-nomera/dobrovolnaya-blokirovka
https://support.mts.ru/mts_mobilnaya_svyaz/blokirovka-nomera/blokirovka-iz-za-dolgogo-neispolzovaniya-nomera
https://support.mts.ru/prilozhenie_mts_bank/karti/kak-zablokirovat-kartu
"
блокировать интернет,"Чтобы заблокировать доступ к интернету на телефоне, вы можете воспользоваться двумя способами:
Способ 1:
 В настройках телефона отключите функцию передачи данных:
- на iOS: откройте Настройки > Сотовая связь > Сотовые данные
- на Android: примерный путь: Настройки > Подключения > Использование данных > Мобильные данные
Способ 2:
 Подключите бесплатную услугу «Ограничение интернета в РФ», чтобы запретить доступ к интернету в России, или «Ограничение интернета в международном роуминге» для запрета в других странах. Это можно сделать в приложении Мой МТС или в Личном кабинете.",https://support.mts.ru/mts_mobilnyy_internet/novim-polzovatelyam/kak-otklyuchit-internet-na-telefone
Блокировать карту,"Чтобы заблокировать карту в приложении МТС Банка, выполните следующие шаги:
1. На главной странице выберите нужную карту.
2. Под изображением карты откройте раздел Управление
3. В пункте Блокировка карты нажмите на кнопку переключения, чтобы она стала зелёной.
4. Чтобы подтвердить блокировку, нажмите Заблокировать.
С этого момента любые операции по карте будут недоступны. Блокировка в приложении неокончательная, её можно снять в любой момент.",https://support.mts.ru/prilozhenie_mts_bank/karti/kak-zablokirovat-kartu
Блокировка номера,"Существует два типа блокировки номера в МТС:
1. Добровольная блокировка:
 Эта услуга позволяет сохранить пакеты минут, интернета и СМС, а также деньги на балансе при потере телефона или если вы планируете использовать номер только время от времени. При добровольной блокировке на номере не работают услуги связи, но плата за тариф не списывается, кроме платы за саму блокировку и арендованное оборудование. В первые 14 дней блокировка бесплатная, затем стоит 1,1 ₽ в день.
2. Блокировка из-за долгого неиспользования:
 Если номер не использовался долгое время, он может быть заблокирован. Восстановить такой номер можно, если он еще не оформлен на другого человека, для чего нужно будет заново оформить договор в салоне МТС с паспортом.","https://support.mts.ru/mts_mobilnaya_svyaz/blokirovka-nomera/dobrovolnaya-blokirovka
https://support.mts.ru/mts_mobilnaya_svyaz/blokirovka-nomera/blokirovka-iz-za-dolgogo-neispolzovaniya-nomera"
В казахстане подключить роуминг,"На большинстве тарифов по умолчанию подключена бесплатная услуга «Лёгкий роуминг и международный доступ». С ней можно звонить и принимать звонки, выходить в интернет, отправлять и получать СМС в большинстве стран мира в сетях операторов – роуминговых партнёров МТС [https://support.mts.ru/api/v1/uploads/20240415_Camel_o%D0%BF%D0%B5%D1%80%D0%B0%D1%82%D0%BE%D1%80%D1%8B_%D0%BF%D0%BE_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B0%D0%BC_67bc2108b9a18c6e2096fec9.pdf]

Если вы едете в страну, которой нет в этом списке, потребуется услуга «Международный и национальный роуминг» вместе с услугой «Международный доступ». Проверить наличие данных услуг можно в Личном кабинете в разделе Услуги или в приложении Мой МТС на главном экране нажмите Подключённые услуги и сервисы.",https://support.mts.ru/mts_rouming_i_mezhgorod/poezdki-po-miru/kak-podklyuchit-uslugi-dlya-dostupa-k-svyazi-i-internetu-v-rouminge
В каких случаях кешбэк не начисляется,"Кешбэк за оплату картой МТС CASHBACK не начисляется в следующих случаях:
- За оплату в казино, тотализаторах и других игорных заведениях.
- За покупку дорожных чеков, лотерейных билетов, ценных бумаг, паевых фондов и драгоценных металлов.
- За оплату страховок.
- За покупки в ломбарде.
- За пополнение электронных кошельков и покупки предоплаченных карт.
- За переводы денег на другие счета или финансовые операции.
- За оплату товаров и услуг, которые сложно отнести к определённой категории.
- За узкоспециализированные услуги.
- За оплату государственных услуг, таких как штрафы, сборы, налоговые платежи и другие.
- За оплату по QR-коду или СБП.",https://support.mts.ru/mts_cashback/karta-mts-cashback-169/za-kakie-operatsii-po-karte-keshbek-ne-nachislyaetsya
в случае смерти,"Как переоформить номер на себя, если владелец умер:
Обратитесь в любой салон экосистемы МТС. Возьмите с собой:
- SIM-карту с номером, который вы хотите переоформить на себя. Баланс должен быть положительным
- свидетельство о смерти прежнего владельца номера или ваше свидетельство о праве на наследство
- ваш паспорт
Если у вас есть свидетельство о наследстве, в котором указано право наследования денег с лицевого счета, деньги на балансе сохранятся.

Если свидетельства о наследстве нет или в нём ничего не сказано о наследовании денег на лицевом счёте, при переоформлении номера баланс обнулится. Вернуть остаток денег можно, если вы ранее пополняли баланс этого номера и у вас остались чеки. 

Процедура переоформления номера бесплатная. Обычно она занимает 1 рабочий день, иногда — до 3 рабочих дней.",https://support.mts.ru/mts_mobilnaya_svyaz/smena-i-pereoformlenie-nomera/kak-pereoformit-nomer-na-drugogo-cheloveka
вернуть,"Слишком широкий запрос. Возможно вы имели в виду:
Вернуть ошибочный платёж на номер
Вернуть ошибочный платёж за домашний интернет и ТВ
Вернуть ошибочный перевод с карты
Вернуть оборудование для домашнего интернета и ТВ","https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/kak-vernut-oshibochnii-platyozh
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/oshibochnii-platyozh
https://support.mts.ru/perevodi/reshenie-problem-s-perevodami/kak-vernut-oshibochnii-perevod-s-karti
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/oborudovanie/kak-vernut-oborudovanie"
Вернуть билет,"Чтобы вернуть билет, если вы не можете пойти на мероприятие, выполните следующие шаги:
Условия возврата:
- За 10 дней и более до мероприятия — вернём 90% от цены билета.
- За 5-9 дней до мероприятия — 50%.
- За 3-4 дня до мероприятия — 30%.
- Менее чем за 3 дня — возврат невозможен, если организатор не указал другие условия.
Деньги вернутся в течение 30 дней, но обычно это происходит быстрее.
Как вернуть билет:
На сайте:
1. В Профиле перейдите в раздел Мои билеты.
2. Нажмите Оформить возврат.

В приложении:
1. Перейдите в раздел Мои билеты.
2. Выберите билет, который нужно вернуть.
3. Нажмите кнопку Билеты.
4. Нажмите Оформить возврат.

Если вы не вошли в аккаунт при покупке билетов, или у вас возникли другие сложности, позвоните по номеру 8 800 250-20-86 или напишите на почту vozvrat@ticketland.ru.",https://support.mts.ru/mts_mts_live/bileti/kak-vernut-bilet-esli-ne-poluchaetsya-poiti-na-meropriyatie
вернуть деньги,"Слишком широкий запрос. Возможно вы имели в виду:
Вернуть ошибочный платёж на номер
Вернуть ошибочный платёж за домашний интернет и ТВ
Вернуть ошибочный перевод с карты","https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/kak-vernut-oshibochnii-platyozh
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/oshibochnii-platyozh
https://support.mts.ru/perevodi/reshenie-problem-s-perevodami/kak-vernut-oshibochnii-perevod-s-karti"
Вернуть деньги при переходе на другой тариф,"При переходе на другой тариф в МТС сразу спишется новая абонентская плата, и будут начислены новые пакеты минут, Гбайт и СМС. Непотраченные пакеты по старому тарифу сгорят, и скидка на абонентскую плату также будет потеряна.",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-izmenit-tarif
Вернуть деньги с телефона,"Чтобы вернуть деньги с телефона, если вы ошибочно отправили платёж на номер МТС, необходимо выполнить следующие шаги:
Перенос платежа на номер МТС:
- Вы можете перенести платёж, если ошибка в номере не превышает 3 цифр или вы поменяли местами не более 4 цифр верного номера.
- С момента оплаты должно пройти не более 14 дней.
- Для этого свяжитесь с поддержкой по номеру 8 800 250-08-90.
Возврат денег на банковскую карту:
- Если вы хотите вернуть деньги на банковскую карту, с которой был осуществлён ошибочный платёж, вам нужно обратиться в салон экосистемы МТС с паспортом и чеком.
- В салоне вы заполните заявление на возврат, и деньги вернутся на карту в срок до 30 дней.
Если платёж был отправлен на номер другого мобильного оператора, вам нужно обратиться в его службу поддержки.",https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/kak-vernut-oshibochnii-platyozh
вернуть средства пополнения по ошибке,"Чтобы вернуть деньги с телефона, если вы ошибочно отправили платёж на номер МТС, необходимо выполнить следующие шаги:
Перенос платежа на номер МТС:
- Вы можете перенести платёж, если ошибка в номере не превышает 3 цифр или вы поменяли местами не более 4 цифр верного номера.
- С момента оплаты должно пройти не более 14 дней.
- Для этого свяжитесь с поддержкой по номеру 8 800 250-08-90.
Возврат денег на банковскую карту:
- Если вы хотите вернуть деньги на банковскую карту, с которой был осуществлён ошибочный платёж, вам нужно обратиться в салон экосистемы МТС с паспортом и чеком.
- В салоне вы заполните заявление на возврат, и деньги вернутся на карту в срок до 30 дней.
Если платёж был отправлен на номер другого мобильного оператора, вам нужно обратиться в его службу поддержки.",https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/kak-vernut-oshibochnii-platyozh
Вернуть тариф,"К сожалению, возврат тарифов не предусмотрен, если ваш старый тариф был архивным.",https://support.mts.ru/mts_mobilnaya_svyaz/tarifi-podpiski-i-uslugi/kak-vibrat-tarif-bez-abonentskoi-plati-i-bez-interneta
востанеовление номера,"Чтобы восстановить номер, который был заблокирован из-за долгого неиспользования, необходимо обратиться в салон экосистемы МТС с паспортом и оформить новый договор на этот номер, если он еще не оформлен на другого человека.",https://support.mts.ru/mts_mobilnaya_svyaz/blokirovka-nomera/blokirovka-iz-za-dolgogo-neispolzovaniya-nomera
Временная блокировка,"Добровольная блокировка поможет сохранить пакеты минут, интернета и СМС, а также деньги на балансе при потере телефона или оставит за вами номер, которым вы планируете пользоваться лишь время от времени.

При добровольной блокировке:
- на номере не работают услуги связи 
- со счёта не списывается плата за тариф, кроме платы за саму блокировку и арендованное оборудование
В первые 14 дней добровольная блокировка бесплатная. Затем — 1,1 ₽/день.
",https://support.mts.ru/mts_mobilnaya_svyaz/blokirovka-nomera/dobrovolnaya-blokirovka
вторая память,"Вторая Память — это надёжное облачное хранилище от МТС для ваших файлов, фото, видео и контактов. С помощью этого сервиса вы можете:
- автоматически загружать фото и видео с телефона в облако;
- загружать файлы и делиться ими с другими;
- создавать резервные копии контактов;
- получать доступ к загруженным файлам с любого устройства;
- освобождать память устройства, удаляя файлы после загрузки в облако.
Сервис доступен в приложении Вторая память для Android версии 5 и выше, а также для iOS версии 13 и выше.",https://support.mts.ru/mts_vtoraya_pamyat/chto-takoe-mts-vtoraya-pamyat/chto-takoye-mts-vtoraya-pamyat
Вход в личный кабинет не приходят смс,"Почему может не приходить СМС с кодом и что делать:
- в настройках некоторых телефонов можно заблокировать СМС. Проверьте, не отключены ли они у вас, и разблокируйте СМС, если надо
- СМС с кодом отправляется от имени MTC_ID, а на вашем номере установлен запрет на получение СМС с символьных номеров. Снимите его
- сигнал слабый или отсутствует. Если у вас есть доступ к сети Wi-Fi, вы можете подключить функцию VoWiFi и получать СМС через интернет. Подробнее о технологии VoWiFi на сайте

Как войти в МТС ID, если получить СМС с кодом невозможно: В этом случае мы можем отправить код на ваши дополнительные контакты ― email или второй номер, если вы ранее добавили их в МТС ID. Для этого нажмите «Не могу получить СМС». Затем введите код из письма или СМС и войдите в МТС ID.

Если к дополнительному номеру нет доступа или СМС на него не приходят, можно войти в МТС ID с помощью Госуслуг. Рассказываем об этом в статье Что делать, если на резервный номер не приходит СМС с кодом для входа в МТС ID [https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/chto-delat-esli-na-rezervnii-nomer-ne-prihodit-sms-s-kodom-dlya-vhoda-v-mts-id]",https://support.mts.ru/mts_id/chto-delat-esli-voznikli-problemi-so-vhodom/chto-delat-esli-na-osnovnoi-nomer-ne-prihodit-sms-s-kodom-dlya-vhoda-v-mts-id
Вход по коду кион,"Для входа в приложение KION необходимо ввести ПИН-код, который защищает доступ к контенту, особенно если у детей есть доступ к сервису. Это требование связано с защитой детей от неподходящей информации, согласно Федеральному закону о защите детей от информации, причиняющей вред их здоровью и развитию.
Если вы хотите убрать запрос ПИН-кода при входе, вы можете отключить эту функцию в настройках профиля. Для этого нужно выбрать свой основной профиль и выключить функцию запрашивания ПИН-кода.",https://support.mts.ru/kion/pin-kod/pochemu-pri-vhode-v-prilozhenie-nuzhno-vvodit-pin-kod
Вызов мастера по настройке роутера,"Напишите в чат приложения Мой МТС. 
1. Зайдите в раздел Поддержка
2. Выберите Написать в чат

Если не получится решить вопрос удалённо, мы назначим выезд мастера на удобное для вас время. Выезд бесплатный, если поломка произошла не по вашей вине. Причину неисправности мастер определит на месте и назовёт стоимость перед началом работ. Платный выезд возможен только при отсутствии блокировок. Оплата работ будет включена в единый счёт, платить наличными мастеру не нужно. Для подписания акта выполненных работ нужен паспорт владельца договора.
",https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/kak-vizvat-mastera/kak-vizvat-mastera-esli-ne-rabotayut-uslugi
Группа для близких,"Группа для близких — это услуга от МТС, позволяющая создать семейную группу для управления мобильной связью ваших близких. Если у вас тариф МТС Супер, МТС Больше, Тариф 24, Тариф №1, Тариф №7 или Новогодний+, вы можете добавить участников в группу, и они получат бесплатный тариф МТС для близких с собственными пакетами интернета, минут и СМС. Ваш собственный тариф при этом не изменится.

Звонки внутри группы бесплатны, и трафик в популярных мессенджерах не расходует пакет интернета. 

Чтобы добавить участника, нужно воспользоваться приложением Мой МТС, выбрать номер из контактов и отправить приглашение. После принятия приглашения тариф участника автоматически сменится на МТС для близких.

Если вам нужно удалить участника, это также можно сделать через приложение, выбрав номер и подтвердив удаление.

Подробнее о группе для близких можно узнать на сайте МТС [https://mts.ru/personal/mobilnaya-svyaz/uslugi/mobilnaya-svyaz/gruppa_dlya_blizkih]",https://support.mts.ru/mymts/upravlenie-nomerami-blizkih/gruppa-dlya-blizkih
Гудок сменить,"Чтобы сменить гудок на мелодию, вы можете воспользоваться несколькими способами:
1. На сайте МТС GOOD’OK:
Войдите в свой аккаунт, выберите мелодию в каталоге и нажмите ""Установить"".
2. В приложении Мой МТС:
Войдите в приложение, выберите раздел ""Услуги"", затем ""Развлечения"" и выберите ""Гудки"". Нажмите ""МТС GOOD'OK"", затем ""Подключить"" и выберите мелодию.
3. Позвоните по номеру 0550:
В голосовом меню прослушайте мелодии и выберите нужную, нажав 1 во время её звучания.
4. Через USSD-команду:
Наберите *111*221# и следуйте подсказкам на экране для выбора мелодии.

Теперь вместо гудка у вас будет выбранная мелодия, а на ваш номер подключится услуга МТС GOOD'OK.",https://support.mts.ru/mts_goodok/kak-podklyuchit--goodok/podklyuchenie
Данные паспорта,"Подтвердить или обновить данные паспорта можно несколькими способами:
1. через Госуслуги
2. по фото паспорта
3. через T-Банк
4. с помощью Alfa ID
5. с помощью Сбер ID","https://support.mts.ru/mts_id/podtverzhdenie-i-izmenenie-dannih-v-akkaunte/podtverzhdenie-personalnih-dannih-s-pomoschyu-portala-gosuslugi
https://support.mts.ru/mts_id/podtverzhdenie-i-izmenenie-dannih-v-akkaunte/podtverzhdenie-dannih-po-foto-i-pasportnim-dannim
https://support.mts.ru/mts_id/podtverzhdenie-i-izmenenie-dannih-v-akkaunte/podtverzhdenie-i-izmenenie-dannih-s-pomoschyu-tinkoff-id
https://support.mts.ru/mts_id/podtverzhdenie-i-izmenenie-dannih-v-akkaunte/kak-podtverdit-ili-izmenit-dannie-s-pomoschyu-alfa-id
https://support.mts.ru/mts_id/podtverzhdenie-i-izmenenie-dannih-v-akkaunte/kak-podtverdit-ili-izmenit-dannie-s-pomoschyu-sber-id"
Детализация,"Детализация — это полные данные о том, как вы пользовались услугами связи в выбранный период. В ней содержатся все даты и суммы списаний и пополнений, а также список всех звонков, интернет-сессий и СМС. Все события в детализации идут по порядку, начиная с самых ранних.
Чтобы заказать детализацию, вы можете воспользоваться следующими способами:
В приложении Мой МТС:
1. Откройте раздел Расходы.
2. Нажмите на Детализация.
3. Выберите Отчёт по расходам.
4. Укажите период и формат документа: PDF или XLSX.
5. Если хотите сразу загрузить детализацию, нажмите Скачать. Чтобы получить документ на email, введите свой адрес и нажмите Отправить на email.
В Личном кабинете:
1. Перейдите в раздел Расходы.
2. Нажмите на Детализация и счёт.
3. Выберите нужный период.
4. Укажите формат документа: PDF или XLSX.
5. Если хотите сразу загрузить детализацию, нажмите Скачать. Для получения документа на email наберите адрес и нажмите Отправить на email.
Обратите внимание, что детализацию давностью от полугода до трёх лет можно получить только на email.",https://support.mts.ru/mts_mobilnaya_svyaz/balans-i-spisaniya/kak-zakazat-detalizatsiyu
Детализация звонков,"Посмотреть детализацию звонков за нужный период можно в отчёте по расходам. В нём вы найдёте все даты и суммы списаний и пополнений, список всех звонков, интернет-сессий и СМС.

Что показывает детализация звонков:
- дату и время звонка
- входящий он был или исходящий
- номер телефона, с которого звонили или на который звонили
- сколько длился разговор
- сколько стоил звонок

Распечатку звонков можно бесплатно скачать или получить на email в приложении Мой МТС или в Личном кабинете. Как это сделать:
В приложении Мой МТС:
1. Откройте раздел Расходы.
2. Нажмите на Детализация.
3. Выберите Отчёт по расходам.
4. Укажите период и формат документа: PDF или XLSX.
5. Если хотите сразу загрузить детализацию, нажмите Скачать. Чтобы получить документ на email, введите свой адрес и нажмите Отправить на email.
В Личном кабинете:
1. Перейдите в раздел Расходы.
2. Нажмите на Детализация и счёт.
3. Выберите нужный период.
4. Укажите формат документа: PDF или XLSX.
5. Если хотите сразу загрузить детализацию, нажмите Скачать. Для получения документа на email наберите адрес и нажмите Отправить на email.
Обратите внимание, что детализацию давностью от полугода до трёх лет можно получить только на email.
",https://support.mts.ru/mts_mobilnaya_svyaz/balans-i-spisaniya/kak-sdelat-detalizatsiyu-zvonkov
Диагностика мобильного интернета,"Запустить онлайн-диагностику мобильного интернета можно в приложении Мой МТС:
1. В приложении Мой МТС перейдите в раздел Поддержка
2. Нажмите на виджет Сообщить о качестве связи
3. Нажмите Проблемы со связью
4. Выберите Нестабильный интернет, низкая скорость
5. Мы проведём онлайн-диагностику. Если найдём ограничения на вашем номере, сразу на экране напишем, что делать. Если с номером всё окажется в порядке, проверим связь по вашему адресу. Для этого нажмите Указать адрес
6. Заполните все поля на экране и нажмите Сообщить о проблеме
7. Если по адресу найдутся ограничения, информацию о них вы сразу увидите на экране. Если их нет, создадим заявку, чтобы технические специалисты всё проверили. Результат проверки пришлём в СМС",https://support.mts.ru/mts_mobilnyy_internet/reshenie-problem-s-internetom/chto-delat-esli-nizkaya-skorost-mobilnogo-interneta
Добавить интернет,"Чтобы добавить интернет, вы можете воспользоваться Турбо-кнопками, которые позволяют подключить дополнительный пакет интернета. 
Есть два типа Турбо-кнопок:
- с определённым количеством Мбайт или Гбайт
- на определённое время — 6 или 24 часа

Как выбрать и подключить турбо-кнопку:
Способ 1 в приложении Мой МТС:
1. На главном экране перейдите в раздел Каталог.
2. Выберите Услуги.
3. Выберите Интернет.
4. Перейдите в раздел Продлить доступ.
5. Откройте Турбо-кнопки.
6. Выберите подходящее предложение и нажмите Подключить.

Способ 2 В Личном кабинете:
1. Перейдите в раздел Услуги > Доступные.
2. Нажмите Интернет > Продлить доступ.

Если вам постоянно не хватает интернета, рекомендуется выбрать тариф с большим или настраиваемым количеством ГБ.",https://support.mts.ru/mts_mobilnyy_internet/prodlenie-interneta/kak-prodlit-internet-esli-trafik-zakonchilsya
Добавить карту,"Слишком широкий запрос. Возможно вы имели в виду:
Как привязать банковскую карту в приложении Мой МТС
Как привязать банковскую карту в сервисе Строки
Как привязать банковскую карту для оплаты в МТС Pay","https://support.mts.ru/mymts/bankovskie-dannie/kak-privyazat-bankovskuyu-kartu
https://support.mts.ru/stroki/pokupka-knig/kak-privyazat-bankovskuyu-kartu
https://support.mts.ru/mts_id/upravlenie-bankovskimi-kartami-dlya-oplati-v-mts-pay/kak-privyazat-bankovskuyu-kartu-dlya-oplati-v-mts-pay"
Доверительное платеж,"Обещанный платёж платный, его стоимость зависит от размера взятой суммы — подробнее на сайте [https://mts.ru/personal/mobilnaya-svyaz/uslugi/mobilnaya-svyaz/promised-payment]

Есть несколько способов получить обещанный платёж:
В приложении Мой МТС
1. На главной странице нажмите Пополнить
2. Выберите Обещанный платёж
3. Наберите сумму обещанного платежа и нажмите Получить

В Личном кабинете:
Если входите в Личный кабинет с телефона:
1. На главной странице нажмите Пополнить
2. Выберите пункт Обещ. платёж
Если входите в Личный кабинет с компьютера, на главной странице нажмите кнопку Обещ. платёж

С помощью команды или голосового помощника
- наберите *122# или *111*123#
- позвоните по бесплатному номеру 1113 или 111722",https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/obeschannii-platyozh
Обещанный платёж,"Обещанный платёж платный, его стоимость зависит от размера взятой суммы — подробнее на сайте [https://mts.ru/personal/mobilnaya-svyaz/uslugi/mobilnaya-svyaz/promised-payment]

Есть несколько способов получить обещанный платёж:
В приложении Мой МТС
1. На главной странице нажмите Пополнить
2. Выберите Обещанный платёж
3. Наберите сумму обещанного платежа и нажмите Получить

В Личном кабинете:
Если входите в Личный кабинет с телефона:
1. На главной странице нажмите Пополнить
2. Выберите пункт Обещ. платёж
Если входите в Личный кабинет с компьютера, на главной странице нажмите кнопку Обещ. платёж

С помощью команды или голосового помощника
- наберите *122# или *111*123#
- позвоните по бесплатному номеру 1113 или 111722",https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/obeschannii-platyozh
Не работает обещанный платеж,"Причин почему ошибочный платеж недоступен может быть несколько:
- ваша задолженность больше 600–2000 рублей, точный лимит зависит от региона
- у вас подключена услуга «Лимит на связь», которая позволяет уходить в минус
- у вас есть задолженность по другим лицевым счетам
- вы в МТС меньше 31 дня
- вы в МТС меньше 60 дней, при этом у вас есть задолженность или вы потратили на связь в прошлом месяце меньше 50 рублей
- у вас тариф, на котором обещанный платёж не предоставляется ― это тарифы линеек «Гостевой», «МТС iPad», «Базовый», - «Твоя страна» и «Курортный», «Позвони маме»
- у вас уже подключён обещанный платёж на максимально доступную сумму

Если нет возможности подключить обещанный платёж, воспользуйтесь услугами «Выручай», «Пополни мне счёт» или «Перезвони мне»",https://support.mts.ru/mts_mobilnaya_svyaz/popolnenie-schyota/obeschannii-platyozh
Докупить гигабайты,"Чтобы докупить гигабайты, вы можете воспользоваться Турбо-кнопками, которые позволяют подключить дополнительный пакет интернета. 
Есть два типа Турбо-кнопок:
- с определённым количеством Мбайт или Гбайт
- на определённое время — 6 или 24 часа

Как выбрать и подключить турбо-кнопку:
Способ 1 в приложении Мой МТС:
1. На главном экране перейдите в раздел Каталог.
2. Выберите Услуги.
3. Выберите Интернет.
4. Перейдите в раздел Продлить доступ.
5. Откройте Турбо-кнопки.
6. Выберите подходящее предложение и нажмите Подключить.

Способ 2 В Личном кабинете:
1. Перейдите в раздел Услуги > Доступные.
2. Нажмите Интернет > Продлить доступ.

Если вам постоянно не хватает интернета, рекомендуется выбрать тариф с большим или настраиваемым количеством ГБ.

",https://support.mts.ru/mts_mobilnyy_internet/prodlenie-interneta/kak-prodlit-internet-esli-trafik-zakonchilsya
Домашние интернет,"Слишком широкий запрос. Возможно вы имели в виду:
Как проверить баланс домашнего интернета и ТВ
Как узнать стоимость услуг и дату списания
Как оплатить домашний интернет и ТВ
Что делать, если не работает домашний интернет","https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/kak-proverit-balans-v-prilozhenii-moi-mts
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/kak-uznat-stoimost-uslug-i-datu-spisaniya
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/sposobi-oplati
https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/kak-ustranit-nepoladki-v-rabote-domashnego-interneta/chto-delat-esli-ne-rabotaet-domashnii-internet"
дата списания домашний интернет,"Узнать дату списания за домашний интернет можно следующим способом:
Если номер +7 9ХХ ХХХ-ХХ-ХХ или +7 699 ХХХ-ХХ-ХХ
1. Откройте приложение Мой МТС и зайдите в раздел Подключённые услуги и сервисы
2. В разделе Тарифы и подписки вы увидите стоимость тарифа и дату следующего списания
3. В разделе Оборудование — список арендованных устройств, сумму ежемесячного платежа и дату списания

Если номер 49Х XXX-XX-XX или 050 XXX-XX-XX
На главном экране Мой МТС вы увидите подключённые услуги и их стоимость. Платёж списывается в первых числах каждого месяца за предыдущий



",https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/kak-uznat-stoimost-uslug-i-datu-spisaniya
оплатить домашний интернет,"Есть несколько способов оплаты домашнего интернета без комисии:
1. Через автоплатёж
2. Картой МТС Банка в приложении Мой МТС, приложении МТС Банка, на сайте МТС Оплата, на сайте МТС Pay
3. В офисах МТС Решения для дома картой любого банка или наличными.

При оплате другими способами может списаться комиссия. Информацию о ней вы увидите, когда будете пополнять баланс.

Какой номер вводить для оплаты:
- мобильный или виртуальный номер — указан в пункте 2 договора, как платёжный идентификатор и логин для входа в Личный кабинет или приложение Мой МТС
- номер лицевого счёта — указан в верхнем левом углу договора

",https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/schyot-i-oplata/sposobi-oplati
не работает домашний интернет,"Не работает Wi-Fi:
1. Проверьте баланс в приложении Мой МТС или Личном кабинете. Если он отрицательный, пополните его
2. Перезагрузите роутер — отключите его от розетки на две минуты, а затем снова подключите
3. Удалите сохранённую сеть Wi-Fi на устройстве, с которого не можете подключиться, и подключитесь к ней заново. Подробнее — в статье Как заново подключиться к сети Wi-Fi
4. Проверьте сетевой кабель. Если он не повреждён, отсоедините и вновь подсоедините его до щелчка

Не работает интернет по кабелю:
1. Проверьте сетевой кабель. Если он не повреждён, отсоедините и вновь подсоедините его до щелчка
2. Проверьте баланс в приложении Мой МТС или Личном кабинете. Если он отрицательный, пополните его
3. Перезагрузите роутер, компьютер или ноутбук

Если интернет не появился, напишите в чат приложения Мой МТС:
1. Зайдите в раздел Поддержка
2. Выберите Написать в чат
Мы проведём диагностику, поможем удалённо или создадим заявку на выезд мастера.
",https://support.mts.ru/domashnii_internet_i_tv_instruktsiii/kak-ustranit-nepoladki-v-rabote-domashnego-interneta/chto-delat-esli-ne-rabotaet-domashnii-internet
